Title,Body,Labels,Sprint,Priority
"COM-01-T01 Definir matriz de estados, transiciones, mensajes y SLA","Objetivo: definir la fuente de verdad de estados y comunicacion. Alcance: estados, transiciones, mensaje por estado/canal/SLA, validacion con ventas y soporte. Aceptacion: matriz aprobada y sin estados ambiguos.","epic:com-01,type:product",1,High
"COM-01-T02 Extender contrato submit de cotizacion con metadata","Objetivo: respuesta consistente para UX/soporte. Alcance: POST /api/v1/quotes con id,status,createdAt,meta.requestId y errores uniformes. Aceptacion: tests de contrato en verde.","epic:com-01,type:backend",1,High
"COM-01-T03 UX confirmacion inmediata en formulario","Objetivo: feedback inmediato tras submit. Alcance: loading/success/error, referencia de seguimiento, reintento. Aceptacion: confirmacion <10s en iPhone/Android/Desktop.","epic:com-01,type:frontend",1,High
"COM-01-T04 Email de recepcion con trazabilidad","Objetivo: confirmar recepcion por email. Alcance: plantilla, envio por quote.received, log sent/failed. Aceptacion: entrega en flujo feliz y eventos de fallo auditables.","epic:com-01,type:backend,type:integrations",1,High
"COM-01-T05 Persistencia timeline de comunicacion","Objetivo: trazabilidad completa por quoteId. Alcance: guardar evento/canal/status/template/error/requestId. Aceptacion: historial auditable por solicitud.","epic:com-01,type:backend,type:data",1,High
"COM-01-T06 Alerta interna por SLA primera respuesta incumplido","Objetivo: evitar solicitudes olvidadas. Alcance: job SLA >60min horario comercial + alerta interna. Aceptacion: alerta unica por breach con registro.","epic:com-01,type:backend,type:devops",1,High
"COM-02-T01 Endpoint estado de solicitud","Objetivo: transparencia para cliente. Alcance: GET /api/v1/quotes/:id/status con estado/eta/lastUpdate/meta.requestId. Aceptacion: contrato 200 + manejo uniforme de errores.","epic:com-02,type:backend",2,Medium
"COM-02-T02 Aviso automatico de retraso al cliente","Objetivo: mantener confianza en demoras. Alcance: trigger quote.sla_breached, plantilla delay, timeline. Aceptacion: envio unico por breach con nueva ETA.","epic:com-02,type:backend,type:integrations",2,Medium
"COM-02-T03 Reintentos e idempotencia de comunicaciones","Objetivo: evitar silencios y duplicados. Alcance: retry exponencial + idempotencia quoteId+eventType+channel + registro de fallos terminales. Aceptacion: pruebas de resiliencia verdes.","epic:com-02,type:backend,type:reliability",2,Medium
"COM-03-T01 Opt-in WhatsApp con consentimiento auditable","Objetivo: habilitar canal WhatsApp legalmente. Alcance: checkbox opt-in, texto legal, persistencia consentimiento. Aceptacion: sin opt-in no hay WhatsApp.","epic:com-03,type:frontend,type:legal",3,Medium
"COM-03-T02 Envio WhatsApp con fallback email","Objetivo: aumentar contacto efectivo en estados criticos. Alcance: integracion proveedor WhatsApp + fallback email. Aceptacion: trazabilidad completa y sin duplicados.","epic:com-03,type:backend,type:integrations",3,Medium
"COM-03-T03 Dashboard SLA y conversion","Objetivo: decisiones comerciales basadas en datos. Alcance: KPI confirmacion, primera respuesta, stale, dropoff y conversion por canal. Aceptacion: panel operativo actualizado.","epic:com-03,type:data,type:ops",3,Medium
